code,date,ret_pct
600048.SH,2020-10-31,-3.3354
600048.SH,2020-11-30,12.1094
600048.SH,2020-12-31,-8.1301
600038.SH,2016-01-31,-25.7728
600038.SH,2016-02-29,-3.1426
600038.SH,2016-03-31,14.7982
600038.SH,2016-04-30,-9.1222
600038.SH,2016-05-31,-0.2781
600038.SH,2016-06-30,5.1724
600038.SH,2016-07-31,2.1659
600038.SH,2016-08-31,5.458
600038.SH,2016-09-30,-8.5284
600038.SH,2016-10-31,6.2485
600038.SH,2016-11-30,7.4786
600038.SH,2016-12-31,4.3085
600038.SH,2017-01-31,7.3317
600038.SH,2017-02-28,-1.7318
600038.SH,2017-03-31,-2.0952
600038.SH,2017-04-30,-4.76
600038.SH,2017-05-31,-13.7127
600038.SH,2017-06-30,11.9743
600038.SH,2017-07-31,-4.2823
600038.SH,2017-08-31,-4.1543
600038.SH,2017-09-30,4.0962
600038.SH,2017-10-31,2.8826
600038.SH,2017-11-30,-0.8005
600038.SH,2017-12-31,4.304
600038.SH,2018-01-31,-12.1857
600038.SH,2018-02-28,-3.6955
600038.SH,2018-03-31,22.8717
600038.SH,2018-04-30,-1.8821
600038.SH,2018-05-31,-12.7108
600038.SH,2018-06-30,-3.4291
600038.SH,2018-07-31,-1.5425
600038.SH,2018-08-31,-3.6271
600038.SH,2018-09-30,5.6454
600038.SH,2018-10-31,-8.7055
600038.SH,2018-11-30,9.0959
600038.SH,2018-12-31,-5.8942
600038.SH,2019-01-31,7.7623
600038.SH,2019-02-28,15.847
600038.SH,2019-03-31,0.2358
600038.SH,2019-04-30,-9.0267
600038.SH,2019-05-31,-1.9516
600038.SH,2019-06-30,-1.6307
600038.SH,2019-07-31,7.5874
600038.SH,2019-08-31,9.6671
600038.SH,2019-09-30,-6.6112
600038.SH,2019-10-31,0.6456
600038.SH,2019-11-30,0.6415
600038.SH,2019-12-31,4.8571
600038.SH,2020-01-31,-6.8749
600038.SH,2020-02-29,-9.2505
600038.SH,2020-03-31,3.1498
600038.SH,2020-04-30,6.2996
600038.SH,2020-05-31,-6.0394
600038.SH,2020-06-30,-1.1314
600038.SH,2020-07-31,25.2983
600038.SH,2020-08-31,11.6815
600038.SH,2020-09-30,-2.0804
600038.SH,2020-10-31,-10.6052
600038.SH,2020-11-30,7.2898
600038.SH,2020-12-31,16.7349
600050.SH,2016-01-31,-34.466
600050.SH,2016-02-29,-0.7407
600050.SH,2016-03-31,9.204
600050.SH,2016-04-30,-7.9727
600050.SH,2016-05-31,-0.9901
600050.SH,2016-06-30,-3.246
600050.SH,2016-07-31,11.811
600050.SH,2016-08-31,0.4695
600050.SH,2016-09-30,-3.0374
600050.SH,2016-10-31,23.6145
600050.SH,2016-11-30,29.8246
600050.SH,2016-12-31,9.7598
600050.SH,2017-01-31,-10.5335
600050.SH,2017-02-28,7.4924
